date,open,high,low,close,volume
2025-08-08,1423.0500,1426.5000,1418.0000,1420.9700,1865528
2025-08-11,1423.5000,1451.9900,1423.0000,1445.0000,4715907
2025-08-12,1449.0000,1465.0700,1436.0000,1437.0400,4201923
2025-08-13,1425.0000,1433.6800,1420.0000,1420.0500,6552754
2025-08-14,1420.9400,1447.5100,1420.9400,1426.9900,4812930
2025-08-15,1426.0100,1428.6600,1420.2200,1422.0800,4758165
2025-08-18,1426.9900,1436.6400,1423.1000,1428.5000,4737798
2025-08-19,1433.5000,1446.6600,1432.0000,1438.0000,4637186
2025-08-20,1438.0000,1452.8000,1430.0200,1450.0000,4580466
2025-08-21,1453.4500,1454.9900,1443.6500,1448.2500,3089057
2025-08-22,1448.8800,1464.0000,1444.7700,1463.9500,4497058
2025-08-25,1470.0100,1496.0000,1466.0000,1490.3300,6532455
2025-08-26,1490.3200,1494.2300,1480.0100,1481.6100,3960213
2025-08-27,1481.8800,1484.9300,1448.0000,1448.0000,5600609
2025-08-28,1447.9700,1456.1000,1438.7700,1446.1000,3928177
2025-08-29,1453.0000,1482.5800,1452.0000,1480.0000,6225648
2025-09-01,1482.2000,1488.0000,1465.7000,1476.1000,4512338
2025-09-02,1478.6600,1509.0000,1478.0000,1491.3000,5668837
2025-09-03,1491.0000,1503.5000,1466.0000,1480.5500,4504503
2025-09-04,1472.0000,1479.3000,1460.4700,1472.6600,4774676
2025-09-05,1471.0000,1486.9700,1464.0000,1483.0000,3738848
2025-09-08,1483.0000,1506.4400,1477.5000,1501.2300,5138298
2025-09-09,1505.0000,1509.9500,1493.4200,1505.0000,3574277
2025-09-10,1506.6600,1529.9500,1496.0000,1522.0100,4966331
2025-09-11,1522.0100,1526.0200,1508.5000,1523.5000,3723896
2025-09-12,1526.0000,1538.0200,1510.5300,1516.0000,3372209
2025-09-15,1515.8700,1517.4800,1501.5000,1515.1000,2582703
2025-09-16,1515.1000,1520.9900,1496.2100,1499.9800,3271789
2025-09-17,1499.9900,1510.2800,1490.0100,1493.0000,3033054
2025-09-18,1492.0000,1497.8000,1463.5000,1467.9600,4972125
2025-09-19,1467.9900,1475.5000,1457.0100,1467.9700,3263662
2025-09-22,1465.0900,1467.9700,1450.0100,1453.3500,3494708
2025-09-23,1450.5000,1457.5000,1440.0000,1447.4200,3866300
2025-09-24,1434.0700,1456.7800,1434.0700,1442.0000,3074350
2025-09-25,1442.8300,1445.2100,1436.0000,1439.0000,3386973
2025-09-26,1441.1800,1447.1100,1428.0100,1435.0000,4512071
2025-09-29,1439.3800,1469.9900,1435.0000,1460.8600,5368403
2025-09-30,1460.0000,1460.7600,1440.0000,1443.9900,3936362
2025-10-09,1436.0000,1439.3800,1420.0000,1436.7800,5491812
2025-10-10,1437.6000,1439.9400,1427.5000,1430.0000,3600144
2025-10-13,1415.7000,1422.8500,1415.1200,1419.2000,4606880
2025-10-14,1429.9900,1464.0000,1429.9900,1451.0200,6667233
2025-10-15,1450.9800,1463.0000,1445.0800,1462.0000,4278540
2025-10-16,1461.9200,1484.9500,1458.8800,1484.9100,4573015
2025-10-17,1483.1000,1488.0000,1454.0300,1455.0000,3808589
2025-10-20,1455.0000,1469.5000,1454.8800,1457.9300,2594988
2025-10-21,1459.0000,1469.9400,1455.5000,1462.2600,2544267
2025-10-22,1462.0800,1465.7300,1456.0000,1458.7000,1819492
2025-10-23,1455.0000,1468.8000,1447.2000,1467.9800,2932235
2025-10-24,1467.9500,1478.8800,1449.3400,1450.0000,3822583
